INFO: Waiting for solution ...
INFO: Algorithm took 0.106 seconds.
INFO: Step 216 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 217 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 218 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 219 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 220 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 221 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 222 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 223 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 224 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 225 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 226 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 227 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 228 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 229 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 230 - from (1, 6) to (1, 0) ; cost 6
INFO: Step 231 - from (1, 0) to (5, 0) ; cost 4
INFO: Step 232 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 233 - from (5, 0) to (1, 0) ; cost 4
INFO: Step 234 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 235 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 236 - from (0, 6) to (0, 1) ; cost 5
INFO: Step 237 - from (0, 1) to (0, 6) ; cost 5
INFO: Step 238 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 239 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 240 - from (0, 0) to (4, 0) ; cost 4
INFO: Step 241 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 242 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 243 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 244 - from (4, 0) to (1, 0) ; cost 3
INFO: Step 245 - from (1, 0) to (5, 0) ; cost 4
INFO: Step 246 - from (0, 0) to (4, 0) ; cost 4
INFO: Step 247 - from (4, 0) to (0, 0) ; cost 4
INFO: Step 248 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 249 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 250 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 251 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 252 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 253 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 254 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 255 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 256 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 257 - from (0, 5) to (0, 6) ; cost 1
INFO: Step 258 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 259 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 260 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 261 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 262 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 263 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 264 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 265 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 266 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 267 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 268 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 269 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 270 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 271 - from (0, 3) to (0, 5) ; cost 2
INFO: Step 272 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 273 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 274 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 275 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 276 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 277 - from (1, 6) to (1, 0) ; cost 6
INFO: Step 278 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 279 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 280 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 281 - from (1, 0) to (5, 0) ; cost 4
INFO: Step 282 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 283 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 284 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 285 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 286 - from (5, 3) to (5, 1) ; cost 2
INFO: Step 287 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 288 - from (5, 3) to (5, 1) ; cost 2
INFO: Step 289 - from (5, 1) to (0, 1) ; cost 5
INFO: Step 290 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 291 - from (0, 1) to (0, 6) ; cost 5
INFO: Step 292 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 293 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 294 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 295 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 296 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 297 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 298 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 299 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 300 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 301 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 302 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 303 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 304 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 305 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 306 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 307 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 308 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 309 - from (0, 5) to (0, 6) ; cost 1
INFO: Step 310 - from (0, 6) to (0, 5) ; cost 1
INFO: Step 311 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 312 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 313 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 314 - from (4, 4) to (4, 0) ; cost 4
INFO: Step 315 - from (4, 0) to (5, 0) ; cost 1
INFO: Step 316 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 317 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 318 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 319 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 320 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 321 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 322 - from (0, 1) to (5, 1) ; cost 5
INFO: Step 323 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 324 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 325 - from (0, 3) to (0, 6) ; cost 3
INFO: Step 326 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 327 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 328 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 329 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 330 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 331 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 332 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 333 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 334 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 335 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 336 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 337 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 338 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 339 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 340 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 341 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 342 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 343 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 344 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 345 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 346 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 347 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 348 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 349 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 350 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 351 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 352 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 353 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 354 - from (0, 3) to (0, 5) ; cost 2
INFO: Step 355 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 356 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 357 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 358 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 359 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 360 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 361 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 362 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 363 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 364 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 365 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 366 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 367 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 368 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 369 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 370 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 371 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 372 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 373 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 374 - from (4, 5) to (0, 5) ; cost 4
INFO: Step 375 - from (5, 5) to (1, 5) ; cost 4
INFO: Step 376 - from (1, 5) to (5, 5) ; cost 4
INFO: Step 377 - from (5, 5) to (1, 5) ; cost 4
INFO: Step 378 - from (1, 5) to (5, 5) ; cost 4
INFO: Step 379 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 380 - from (4, 5) to (0, 5) ; cost 4
INFO: Step 381 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 382 - from (0, 5) to (0, 6) ; cost 1
INFO: Step 383 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 384 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 385 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 386 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 387 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 388 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 389 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 390 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 391 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 392 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 393 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 394 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 395 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 396 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 397 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 398 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 399 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 400 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 401 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 402 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 403 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 404 - from (0, 3) to (0, 5) ; cost 2
INFO: Step 405 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 406 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 407 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 408 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 409 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 410 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 411 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 412 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 413 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 414 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 415 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 416 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 417 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 418 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 419 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 420 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 421 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 422 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 423 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 424 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 425 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 426 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 427 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 428 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 429 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 430 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 431 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 432 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 433 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 434 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 435 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 436 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 437 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 438 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 439 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 440 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 441 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 442 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 443 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 444 - from (4, 4) to (4, 0) ; cost 4
INFO: Step 445 - from (4, 0) to (5, 0) ; cost 1
INFO: Step 446 - from (0, 5) to (0, 0) ; cost 5
